news_id,news_title,review_title,rating,num_satisfactory
story_reviews_00054,Reuters Health,A possible link between eyesight and cognitive function? Reuters Health summary is a little out of focus,3,5
story_reviews_00055,STAT,"STAT suggests flu drug could ‘upend treatment,’ but there’s plenty to question about this claim",4,7
story_reviews_00056,NPR,"NPR deftly summarizes results of early study using polio vaccine for brain cancer, except industry conflicts of interest",4,6
story_reviews_00057,NBCNews.com,Atypical patient anecdote throws off well-reported NBC News story on experimental brain cancer treatment,4,6
story_reviews_00058,The Washington Post,"FDA approves new marijuana-derived drug, but was the evidence solid? Washington Post doesn’t say",3,5
story_reviews_00059,STAT,Small ‘diabetes vaccine’ study: STAT provides lots of useful numbers for readers,4,7
story_reviews_00060,Health Day,One blood test to diagnose diabetes? HealthDay doesn’t address harms of overdiagnosis and overtreatment,3,5
story_reviews_00061,Newsweek,"Newsweek’s story on the 16:8 diet: It’s not much more than a news release rewrite, but it’s at least cautious",3,5
story_reviews_00062,Newsweek,Here’s one detail that should be included in almost all stories about cancer screening studies,3,5
story_reviews_00063,BuzzFeed,BuzzFeed warns readers ‘a lot more work to be done’ to find out if experimental blood test can predict preterm birth,4,7
story_reviews_00064,Reuters Health,"In story on texting program for chemo patients, Reuters Health keeps most study details on the DL",2,3
story_reviews_00065,NPR,NPR (yet again) writes uncritically about ketamine for mental illness,1,1
story_reviews_00066,The Guardian,Numerous problems plague Guardian’s coverage of ‘holy grail of cancer research’,2,2
story_reviews_00067,Los Angeles Times,LA Times provides careful take on early brain/diabetes research–except for the headline,4,7
story_reviews_00068,Health Day,HealthDay rehashes a news release claiming researchers have found new type of vertigo,1,1
story_reviews_00069,Bloomberg,A study that may help reduce overtreatment of breast cancer gets solid write-up by Bloomberg,4,8
story_reviews_00070,NBCNews.com,Drug’s ability to lower frequency of migraines by 50 percent sounds pretty good–until you read the fine print,3,6
story_reviews_00071,The Philadelphia Inquirer,Inquirer delivers well-rounded report on using laughing gas for labor pain–except for two things,4,8
story_reviews_00072,Reuters,Reuters story on MS drug for kids even less informative than the FDA news release,2,3
story_reviews_00073,Newsweek,Newsweek stokes false hope with ‘cure for baldness’ based on preliminary evidence,3,4
story_reviews_00074,The Wall Street Journal,Gene test for depression treatment: Realistic patient story helps keep WSJ article grounded,4,7
story_reviews_00075,Health Day,Independent viewpoint helps round out HealthDay story on impact of earlier mammograms,4,7
story_reviews_00076,The New York Times,"Thank you, New York Times, for asking ‘Who is behind these studies? Where does the money come from?’",4,8
story_reviews_00077,The Guardian,"Another rehashed news release from the Guardian, this time about partial vs. full knee replacement surgery",2,3
story_reviews_00078,Health Day,"In comparison of clot-busting drugs, HealthDay gets props for being clear on costs and harms",4,7
story_reviews_00079,The Guardian,"Guardian spoon-feeds university news release to readers, claiming prostate cancer ‘breakthrough’",1,2
story_reviews_00080,Reuters,Reuters numbs with numbers on experimental migraine drug,2,4
story_reviews_00081,Health Day,Can ‘thinking differently’ help sooth chronic back pain? Hard to tell from HealthDay’s fuzzy reporting,3,5
story_reviews_00082,The Washington Post,"Immunotherapy prolongs survival, but at what cost? Washington Post needed more on treatment downsides",3,5
story_reviews_00083,Time,"Without any independent sources providing insight, readers of TIME’s coverage on lung cancer immunotherapy mostly left in the dark",2,3
story_reviews_00084,Associated Press,Diagnosing Alzheimer’s using biomarkers–AP makes it clear that there is no benefit to patients,4,7
story_reviews_00085,The New York Times,"By downplaying risks, NY Times column gives lopsided take on new shingles vaccine",3,5
story_reviews_00086,CNN,CNN leaves out key limitation of study on legalizing marijuana and opioid use,3,5
story_reviews_00087,The Boston Globe,Boston Globe overlooks evidence showing many patients not helped by ‘bionic’ joint replacements,3,5
story_reviews_00088,The Wall Street Journal,Prostate cancer gene test: WSJ skirts around lack of long-term data,3,6
story_reviews_00089,Associated Press,AP story on ‘selfie medicine’ adherence programs overlooked evidence showing they don’t work well,3,6
story_reviews_00090,Reuters,Reuters lets Roche make data-free claims about drug’s impact on lung cancer survival,2,4
story_reviews_00091,Los Angeles Times,Significant conflicts of interest not disclosed in LA Times story on modified Pap tests,3,5
story_reviews_00092,The Philadelphia Inquirer,"Inquirer provides balanced and complete summary of debate over kratom, an herbal opioid",5,10
story_reviews_00093,Newsweek,"Like so many news stories before it, Newsweek article makes male birth control pill sound imminent",3,6
story_reviews_00094,Health Day,Is an unfinished pilot study of 8 patients really newsworthy?,3,5
story_reviews_00095,Reuters,How strong is the evidence behind FDA’s proposal to reduce nicotine levels in cigarettes? Reuters story doesn’t say,3,6
story_reviews_00096,Health Day,"Blood pressure pill shows promise compared to ‘usual care,’ HealthDay says, never explaining what that is",1,1
story_reviews_00097,ABCNews.com,"In rehash of news release, ABC News glosses over realities of experimental menopause drug",2,3
story_reviews_00098,CNN,A pat on the back to CNN for its well-written story on barbershops and blood pressure,5,8
story_reviews_00099,USA Today,USA Today rehashes PR talking points in story on at-home breast cancer gene test,1,2
story_reviews_00100,Vox,Vox thoroughly covers study on treatment alternatives to Alcoholics Anonymous,5,8
story_reviews_00101,NPR,NPR story about online weight loss program left out a key detail: How much does it cost?,3,4
story_reviews_00102,Associated Press,AP’s widely-reported story on IV fluids oversimplified the research,3,6
story_reviews_00103,Reuters Health,"Though it may improve symptoms, minimally invasive heart valve surgery is not without risks",2,4
story_reviews_00104,Newsweek,Retinal scans to detect heart attack risk? Newsweek offers a blurry picture,2,3
story_reviews_00105,Newsweek,Newsweek headline overreaches with assertion that “many more” should take antidepressants,2,3
story_reviews_00106,The Guardian,"Guardian trumpets a test to diagnose autism, but where’s the evidence?",1,1
story_reviews_00107,CNN,CNN wrongly reports that a new blood test can “help detect concussion”,3,5
story_reviews_00108,ABCNews.com,ABC downplays gloomy context in reporting ‘remarkable’ BACE1 finding for Alzheimer’s,1,2
story_reviews_00109,CBSNews.com,Could this be a perfect example of health news clickbait?,2,2
story_reviews_00110,Time,A flu-killing UV lamp? TIME overreaches about the state of the science,2,4
story_reviews_00111,Health Day,HealthDay speculates about flu-fighting abilities of UVC light,2,3
story_reviews_00112,NPR,"Emerging migraine treatments: NPR story deftly weighs the good, the bad and the unknowns",4,8
story_reviews_00113,Bloomberg,Disease-mongering dogs Bloomberg’s story on prostate cancer drugs,3,6
story_reviews_00114,Bloomberg,Bloomberg highlights modest weight loss benefit from standing desks study. Missing: a focus on better alternatives,2,3
story_reviews_00115,Health Day,An Alzheimer’s study that included just 3 people: Does that warrant consumer news coverage?,3,6
story_reviews_00116,The Washington Post,Washington Post story on hyperbaric therapy for head injuries notes uncertain benefit–but not potential harms,3,5
story_reviews_00117,The New York Times,"Though it may reduce impact of a stroke, blood clot removal surgery is not without risks",3,5
story_reviews_00118,CBSNews.com,Doctor with industry ties call sleep apnea device ‘revolutionary’ and ‘a game changer’ in CBS News story,1,2
story_reviews_00119,NBCNews.com,High-tech buzzwords and scary patient anecdote dominate NBC’s story on ‘new approach’ for aortic aneurysms,1,2
story_reviews_00120,NPR,"Cautious, independent voices help round out NPR’s look at experimental blood test for cancer",5,9
story_reviews_00121,Associated Press,"‘It’s unknown whether treatment increases survival,’ AP wisely notes about new breast cancer drug",3,6
story_reviews_00122,Health Day,HealthDay’s piece on ‘bone cement’ doesn’t hold together,1,2
story_reviews_00123,The Wall Street Journal,"Stem cells for knee problems: WSJ doesn’t explore costs, harms, alternatives",3,5
story_reviews_00124,NPR,NPR’s story on weight loss surgery in teens: Cost info would have improved a well-reported story,4,8
story_reviews_00125,CNN,"CNN wisely challenges $425,000 price for gene therapy, but what about the claims of effectiveness?",3,6
story_reviews_00126,Reuters Health,Reuters Health story on glaucoma and drinking hot tea skims over study limitations,4,5
story_reviews_00127,US News & World Report,Exercise and mild cognitive impairment: How solid is the evidence? U.S. News doesn’t say,3,4
story_reviews_00128,Los Angeles Times,LA Times provides strong overview on study showing vitamin D and calcium supplements don’t prevent fractures,4,6
story_reviews_00129,US News & World Report,Little evidence to support assertion in U.S. News story that ADHD drugs can help smokers quit,3,4
story_reviews_00130,NPR,No discussion of risks in NPR’s look at brain-zapping implants to treat destructive impulses,3,6
story_reviews_00131,STAT,"Antibiotics could ‘dramatically reduce’ STIs, STAT says, though findings apply to small group of men",3,6
story_reviews_00132,The Philadelphia Inquirer,Philadelphia Inquirer story skirts discussion of evidence for experimental migraine drug,3,5
story_reviews_00133,Health Day,"HealthDay parrots another news release, this time overstating benefits of exercise for lymphoma",2,2
story_reviews_00134,The Washington Post,Gene therapy and hemophilia: Washington Post wisely tells readers ‘the study has some limitations’,4,8
story_reviews_00135,Reuters Health,"A short, small study can’t prove opening doors or windows improves sleep quality",3,4
story_reviews_00136,Time,"When weight loss is the intervention, it’s still important to talk about costs and harms",3,6
story_reviews_00137,NBCNews.com,Outside experts help round out NBC’s report on minimally invasive back pain procedure,3,7
story_reviews_00138,The Guardian,Guardian story on new migraine drug never establishes why it’s ‘an important step forward’,2,4
story_reviews_00139,Newsweek,Fecal transplant via a pill? Newsweek’s coverage points out possible selection bias of study participants,4,7
story_reviews_00140,Associated Press,Patient anecdote outweighs data in AP’s look at lymph node transfer surgery,3,5
story_reviews_00141,Time,Be wary of news headlines promising to unlock secrets of ‘living longer’,2,3
story_reviews_00142,CNN,Spit test for concussion detection: CNN story includes some important caveats,4,7
story_reviews_00143,ABCNews.com,"Skimpy, source-free ABC News story on new blood pressure guidelines unlikely to help readers much",3,4
story_reviews_00144,CNN,CNN is clear on the comparative benefits of two drugs for opioid use disorder,3,6
story_reviews_00145,The Washington Post,"‘Regular painkillers work as well as opioids for fractures,’ but is this new information?",3,6
story_reviews_00146,BuzzFeed,BuzzFeed story on IUDs and cervical cancer warns readers ‘these are observational studies’,3,6
story_reviews_00147,NBCNews.com,Preliminary Alzheimer’s study involving plasma infusions–was this really newsworthy?,3,6
story_reviews_00148,The New York Times,"NYT dives deep into potential impact of stent study, but needed more specifics on what was measured",4,8
story_reviews_00149,The Wall Street Journal,"WSJ’s look at stent study: Solid reporting, with room for more detail on costs and risks",4,8
story_reviews_00150,Reuters Health,‘Dramatic benefit’ of surgery in kids with epilepsy–potential harms clearly outlined,4,7
story_reviews_00151,US News & World Report,U.S. News & World Report story on COPD and vitamin A left us wondering ‘what’s the news?’,4,6
story_reviews_00152,Health Day,HealthDay’s rehashed news release overstates dementia benefits of blood thinners,2,3
story_reviews_00153,The Wall Street Journal,"Plenty of context, but evidence was AWOL in WSJ story on uterine fibroid treatment",4,7
story_reviews_00154,Associated Press,Brief but informative report from AP on newly approved shingles vaccine,3,6
story_reviews_00155,The Washington Post,Washington Post wisely quantifies severe side effects and deaths from CAR-T cell therapy,3,6
story_reviews_00156,Newsweek,"Readers will be swept in by Newsweek’s story on pending muscular dystrophy drug, but what does the evidence show?",4,7
story_reviews_00157,The Wall Street Journal,WSJ wisely reports on Ebola vaccines: ‘It is unknown…what antibody levels are needed to protect patients’,4,6
story_reviews_00158,Health Day,HealthDay rehashes news release in uncritical look at breast cancer screening,2,3
story_reviews_00159,Health Day,"Drink more water to reduce UTI risk, urge researchers who work for Evian’s manufacturer",3,4
story_reviews_00160,The New York Times,New York Times is upfront about risk of ‘absolutely crazy’ prices for gene therapy treatment,4,7
story_reviews_00161,Associated Press,AP makes it clear that gene therapy has uncertain future for treating ALD,4,7
story_reviews_00162,Time,‘May help’…’may prevent:’ Conditional statements water down TIME’s look at exercise and depression study,3,4
story_reviews_00163,Associated Press,AP’s write-up on a new continuous blood sugar monitor–where’s the proof that it works?,3,5
story_reviews_00164,The Philadelphia Inquirer,Study limitations needed more attention in Inquirer’s look at whooping cough vaccine study,4,6
story_reviews_00165,CNN,CNN speculates about benefits of preliminary research finding on potential CTE biomarker,4,6
story_reviews_00166,NPR,Independent source bolsters NPR’s report on oral food challenges for allergies,4,7
story_reviews_00167,The Philadelphia Inquirer,Sleep deprivation for depression: Philadelphia Inquirer gives readers needed context on study limitations,4,7
story_reviews_00168,Newsweek,Is one study of 51 men enough to declare the ‘two-week diet’ is better for dropping pounds?,3,4
story_reviews_00169,Associated Press,AP’s story on cancer immunotherapy quickly mentions low success rate,4,6
story_reviews_00170,ABCNews.com,ABC News touts affordability of at-home BRCA test without delving into any drawbacks,3,5
story_reviews_00171,The New York Times,Solid report from NYT on peanut product that claims to reduce allergy risk,5,9
story_reviews_00172,Reuters Health,Reuters Health deftly reports new data on hormone therapy for menopause,5,8
story_reviews_00173,US News & World Report,"U.S. News compares accuracy of colon cancer screening tests, but what about costs?",3,5
story_reviews_00174,The Guardian,Guardian leaves out a key potential conflict of interest in story on statin study,2,3
story_reviews_00175,Health Day,HealthDay cautiously reports results of Opdivo melanoma study,4,8
story_reviews_00176,STAT,STAT provides readers with necessary details to make sense of new PSA screening study,4,8
story_reviews_00177,Los Angeles Times,LA Times portrays PSA screening analysis as far more clear-cut and definite than even the authors claim,3,5
story_reviews_00178,Associated Press,Anecdotes dominate AP’s story on EMTs using nitrous oxide for pain relief,3,5
story_reviews_00179,The Washington Post,Washington Post’s otherwise well-reported story on ecstasy for PTSD skirts evidence discussion,4,7
story_reviews_00180,Time,TIME’s look at new heart drug overlooks high price and potentially fatal risks,3,5
story_reviews_00181,Reuters,"In coverage of anti-inflammatory heart drug from Novartis, Reuters keeps it real",4,7
story_reviews_00182,Reuters,Reuters doesn’t dig deep enough into FDA’s approval of ‘new’ Parkinson’s drug Gocovri,2,4
story_reviews_00183,The New York Times,NY Times touts ‘compelling’ results for unproven hair loss product,3,5
story_reviews_00184,Time,"New therapy may ‘cure’ peanut allergy, TIME unwisely speculates (again)",2,4
story_reviews_00185,NBCNews.com,NBC News doesn’t back away from shortcomings of new blood test for early cancer detection,5,10
story_reviews_00186,Bloomberg,Strong recap on cancer blood test should have challenged survival claims,4,7
story_reviews_00187,ABCNews.com,ABC News story on new ALS drug Radicava included many caveats–except the most important one,3,5
story_reviews_00188,NBCNews.com,"NBC News says gene test ‘may help treat depression,’ but doesn’t back up claim",2,4
story_reviews_00189,NPR,Managing ‘mummy tummy:’ More study details would’ve tightened informative NPR piece,3,5
story_reviews_00190,Associated Press,"AP story says new drug ‘cures’ hepatitis C, but that’s no guarantee patients will be spared cirrhosis or liver cancer",3,6
story_reviews_00191,Health Day,Cautious tone underpins HealthDay’s story on experimental treatment to reduce kidney transplant rejection,4,8
story_reviews_00192,STAT,STAT puts $950 DNA-based fertility test under the microscope,5,9
story_reviews_00193,NPR,More discussion of study’s limitations needed in NPR’s story on chronic fatigue test,3,6
story_reviews_00194,Los Angeles Times,Do PET scans improve dementia diagnosis? LA Times story overlooks harms of screening,3,5
story_reviews_00195,The Guardian,Stem cell brain implants–what could go wrong? Guardian doesn’t say,4,6
story_reviews_00196,Vox,Vox says experimental HIV vaccine is ‘promising.’ But is it?,4,7
story_reviews_00197,NPR,"Needle-free vaccines: NPR’s story is solid effort, but needed more on the medical evidence behind the claims",3,6
story_reviews_00198,Vox,To taper or not to taper off opioids? Vox lays out strengths and weaknesses of new study,5,8
story_reviews_00199,Health Day,"Laser treatment for eye ‘floaters’–HealthDay notes small study size, but not cost or risks",3,5
story_reviews_00200,Newsweek,Newsweek presents a mostly balanced account of family’s unconventional cancer journey,4,6
story_reviews_00201,NBCNews.com,"NBC News claims new imaging technique ‘may predict heart attacks,’ but where’s the data?",2,3
story_reviews_00202,The Washington Post,"Washington Post wisely notes that CAR T-cell therapy may cost at least $300,000",4,7
story_reviews_00203,STAT,"Vaccine shows protection against gonorrhea, STAT reports. But what about the costs and potential harms?",4,8
story_reviews_00204,Los Angeles Times,“Good for you” or not? Mixed messages in LA Times coverage of coffee studies,4,5
story_reviews_00205,Newsweek,It’s misleading to call results from phase 1 trials with 6 and 13 patients a ‘cancer breakthrough’,4,7
story_reviews_00206,US News & World Report,U.S. News takes careful look at emailed help for smoking cessation,5,8
story_reviews_00207,The Washington Post,Washington Post deftly examines lack of evidence for a fuzzy area of psychiatry: animal therapy,5,8
story_reviews_00208,Reuters,Reuters turns unpublished pilot studies into news,2,3
story_reviews_00209,Health Day,Preeclampsia and aspirin: HealthDay does solid job covering new study findings,5,7
story_reviews_00210,BuzzFeed,Buzzfeed offers refreshing candor in explainer piece on female condom,5,10
story_reviews_00211,The Wall Street Journal,WSJ’s look at digital therapy covers a lot of ground–except potential downsides,4,8
story_reviews_00212,Associated Press,It’s still a conflict of interest when a source ‘wasn’t part of the research’ but is a consultant for the drug company,3,6
story_reviews_00213,US News & World Report,"Though light on data, U.S. News & World Report story looks at lack of evidence for arthroscopic knee surgery",4,6
story_reviews_00214,CBSNews.com,"CBS News says ‘yoga as good as physical therapy’–OK, but what does ‘good’ mean?",2,3
story_reviews_00215,Health Day,"Acupuncture in the ER: No, study did not prove it was ‘safe and effective’",2,3
story_reviews_00216,The Guardian,"For story on experimental prostate cancer blood test, Guardian leans heavily on news release",1,2
story_reviews_00217,The Philadelphia Inquirer,‘O-Shot’ incontinence fix: Inquirer sets out lack of scientific support for procedure,5,8
story_reviews_00218,NBCNews.com,"Small, unpublished study on new knee pain procedure needed more scrutiny from NBC News",4,7
story_reviews_00219,The Washington Post,Washington Post’s look at Silicon Valley ‘smart drugs’ needed a stronger shot of skepticism,3,5
story_reviews_00220,Health Day,Speculation overshadows caution in HealthDay’s snake venom-derived blood thinner story,3,6
story_reviews_00221,Newsweek,"Newsweek says ‘new vaccine could stop heroin abuse’ — in four monkeys, at least",3,5
story_reviews_00222,Reuters,"Strong on context, light on data: Reuters Health story on chondroitin for knee pain",3,6
story_reviews_00223,Time,TIME takes cautious approach with probiotics and depression study,4,8
story_reviews_00224,Bloomberg,Bloomberg offers up balanced recap of new breast cancer therapy,5,9
story_reviews_00225,The Philadelphia Inquirer,Positive anecdotes dominate Philadelphia Inquirer story on ‘UroLift’ for enlarged prostate,3,6
story_reviews_00226,Los Angeles Times,Immunotherapy’s ‘new era:’  LA Times story overlooks the risks and overstates trial results,2,4
story_reviews_00227,CNN,CNN deftly reports on results of trial of cannabis-derived drug for severe epilepsy,5,9
story_reviews_00228,Newsweek,"Newsweek speculates about an ‘obesity cure,’ and doesn’t disclose important conflict of interest",2,3
story_reviews_00229,The Guardian,Cautions and caveats help buoy Guardian story on using high platelet count for cancer detection,4,6
story_reviews_00230,Health Day,Could an expensive chemotherapy drug treat severe asthma? It’s too soon to know,4,7
story_reviews_00231,Reuters,Keytruda for bladder cancer: No independent scrutiny of Merck-reported results,3,6
story_reviews_00232,Bloomberg,Bloomberg story provides clear-eyed view of trendy neurofeedback brain-training clinics,5,9
story_reviews_00233,NBCNews.com,How solid is the evidence for an implantable sleep apnea device? NBC’s story doesn’t say,3,4
story_reviews_00234,The Washington Post,"‘Baby aspirin may reduce risk of breast cancer,’ says Washington Post, omitting some major limitations of the study",3,3
story_reviews_00235,Health Day,Blood thinners may prevent dementia in atrial fibrillation patients–or they may not,3,5
story_reviews_00236,USA Today,USA Today story based on one anecdote serves as promotional megaphone for Microsoft,2,3
story_reviews_00237,Reuters Health,"Except for needing more sources, Reuters Health story on Graves’ disease is well-reported",4,8
story_reviews_00238,Newsweek,Marijuana and memory: Newsweek writes about mouse research–but is at least upfront about it,4,5
story_reviews_00239,NPR,"NPR suggests experimental concussion ‘spit test’ can improve care, but that’s not what researchers looked at",3,6
story_reviews_00240,Health Day,A pat on the back to HealthDay for thorough report on ulcerative colitis drug,5,9
story_reviews_00241,The New York Times,Potential cancer-detecting breath test gets breathless write-up in New York Times,2,4
story_reviews_00242,The Guardian,"Interesting postpartum depression study results reported in the Guardian, but have they actually been published?",2,3
story_reviews_00243,STAT,STAT’s cautious story provides interesting insights into challenges of Alzheimer’s research,5,8
story_reviews_00244,The Philadelphia Inquirer,"‘Game-changer, Holy Grail, groundbreaking’ used in Philly Inquirer story on phase 1 trial",3,5
story_reviews_00245,US News & World Report,Informative journalism or promotional puff piece? U.S News & World Report story blurs the line,2,3
story_reviews_00246,The Wall Street Journal,WSJ story on prostate procedure: No independent sources were quoted,3,6
story_reviews_00247,CNN,CNN avoids slimy claims about using frog peptides to kill flu viruses,5,7
story_reviews_00248,The New York Times,"No, a ‘pacemaker’ for the brain can’t help memory (yet)",3,5
story_reviews_00249,NBCNews.com,NBC’s single source report on device for treating cluster headaches lacks balance,2,4
story_reviews_00250,CBSNews.com,CBS’s anecdotal story on botox for major depression omits major conflicts of interest,2,3
story_reviews_00251,Associated Press,"AP story on trans fats ban: Strong on sourcing, but left out key detail about study findings",5,7
story_reviews_00252,Reuters Health,‘That finding could be due to chance:’ Reuters Health uses caution to explain study on trans fats ban,5,7
story_reviews_00253,Associated Press,Lack of independent sources hinders AP story on new drug that treats side effect caused by antipsychotics,4,7
story_reviews_00254,STAT,Facial-recognition software for diagnosing genetic disorders: STAT leaves too many questions unanswered,2,4
story_reviews_00255,Health Day,"Stem cell ‘patch’ for heart failure: HealthDay cautions readers about small study size, lack of control group",3,6
story_reviews_00256,Vox,Walk or run for exercise? Vox provides informative look at risks and benefits of both,5,6
story_reviews_00257,CNN,"CNN claims aspirin can reduce cancer death risk, falling into observational study trap",2,3
story_reviews_00258,CBSNews.com,"‘Promising’ new lymphoma treatment gets superficial, one-sided coverage by CBS",2,4
story_reviews_00259,Newsweek,Big gaps in reporting plus misleading statements mar Newsweek’s fluffy look at magnets for depression,2,4
story_reviews_00260,NBCNews.com,Lack of independent sources weaken NBC’s look at pricey eczema drug,4,8
story_reviews_00261,The New York Times,Throw away your reading glasses? Informative Times report on ‘brain-training’ for vision doesn’t quite back up the headline,5,8
story_reviews_00262,NBCNews.com,NBC calls rodent retina research ‘game changer’ for vision loss in people,3,6
story_reviews_00263,Vox,Vox touts ‘simple way to help combat opioid epidemic’ that is anything but simple,2,4
story_reviews_00264,CBSNews.com,CBS News speculates about what at-home sperm-checking device ‘could’ do,2,3
story_reviews_00265,The Washington Post,Online counseling for high blood pressure: Washington Post wisely includes caveats,4,5
story_reviews_00266,The New York Times,NY Times’s look at non-drug heartburn treatments may leave readers confused,2,2
story_reviews_00267,The New York Times,"‘Don’t stop your statins,’ urges New York Times blog post that’s only four short paragraphs",3,4
story_reviews_00268,Bloomberg,"Bloomberg paints rosy picture of virtual reality for PTSD, glossing over the hard evidence",2,3
