word,log_odds_ratio
april,1.00375
arab,0.79224
arabia,0.79224
arbor,1.85225
archives,0.71284
area,1.11547
areas,1.11886
argentina,0.79224
argue,0.40786
argued,0.4519
argues,0.28521
argument,0.30063
arizona,0.85928
arm,0.69405
armenia,0.79224
arms,0.79698
army,0.70188
aromatase,0.96748
around,1.15712
array,0.85897
arrive,0.21338
arrived,0.90962
art,2.6043
arteries,1.2091
artery,1.19257
arthritis,1.42371
arthur,1.85225
article,0.59889
artificial,3.98458
aruba,0.73504
asia,0.85928
asian,1.29274
ask,0.43745
asked,0.71723
asking,0.2533
asks,0.42766
asleep,0.92077
aspect,0.59291
aspects,0.80434
aspirin,0.53117
assess,1.11161
assessed,0.56795
assessing,0.36596
assessment,1.29718
assessments,1.89185
assign,0.25648
assigned,0.32296
assistance,0.96748
assistant,0.74857
assisted,1.00358
associate,0.80742
associated,0.7898
association,0.64079
associations,0.64286
assume,1.14815
assuming,0.96748
asthma,1.17045
astrazeneca,0.31968
ate,0.92992
athlete,2.16274
athletes,1.2959
atlanta,0.53266
atrial,1.29336
atrophy,1.7265
attach,0.57163
attached,0.94997
attack,0.65725
attacks,0.83149
attempt,1.19346
attempts,0.64133
attended,0.70188
attending,0.4519
attention,0.52724
attributed,0.59291
atypical,0.25648
aug,0.5279
august,0.62045
australia,0.67719
australian,1.13091
austria,0.64209
author,0.71719
authored,0.14154
authors,0.62406
autism,1.29913
autistic,0.34128
autoimmune,0.91365
automatically,1.29274
available,0.64929
average,0.64659
averaged,1.55536
avoid,0.99411
avoided,0.30063
avoiding,0.55793
awaiting,0.53936
awake,0.64286
aware,0.80222
awareness,0.76976
away,0.95843
azerbaijan,0.73504
babies,1.0933
baby,0.83926
back,0.73984
backed,0.24255
background,2.12967
backs,0.64362
bacteria,1.2091
bacterial,1.5129
bacterium,0.57163
bad,0.81374
bag,0.28521
bahamas,0.79224
bahrain,0.79224
baker,0.28521
balance,0.77881
balanced,0.51404
ball,0.68547
baltimore,0.69996
band,0.60382
bangladesh,0.79224
bank,1.10661
baptist,1.7265
bar,0.23297
barbados,0.79224
barbara,0.85928
barbuda,0.73504
barcelona,0.25648
barely,0.79224
bariatric,0.17028
barrier,0.96727
base,0.60382
based,0.573
baseline,0.85867
basic,0.50882
basically,0.88745
basis,0.87577
basketball,0.64362
bathroom,1.14815
battery,1.59814
battle,1.22667
bay,0.8958
bayer,0.64286
baylor,0.68547
beach,2.31609
beans,1.19346
bear,1.39537
beat,1.48276
beating,0.21338
beautiful,2.16274
beauty,1.7265
became,0.8663
beck,0.57163
become,0.89529
becomes,1.05787
becoming,0.55033
bed,0.67692
bedtime,0.42766
began,0.36616
begin,0.74547
beginning,0.82819
begins,0.73391
begun,0.71837
behavior,0.77884
behavioral,0.4864
behaviors,0.85745
behind,0.69844
belarus,0.79224
belgium,0.69996
belief,0.48718
believe,0.97897
believed,0.93126
believes,0.54662
belize,0.79224
belly,0.23297
beneficial,0.56142
benefit,0.59122
benefited,0.60382
benefiting,0.28521
benefits,0.47416
benign,1.29718
benin,0.79224
bermuda,0.64209
berries,3.12361
berry,1.10661
besides,0.42521
best,0.67939
bet,1.85225
beta,0.81007
beth,0.64209
better,0.71518
beverages,0.14999
beyond,0.38127
bhutan,0.79224
bias,0.30063
big,0.73357
bigger,0.77725
biggest,0.56645
bike,1.10661
bill,0.27186
billion,0.61199
bind,0.25648
binds,0.28521
biochemistry,1.10661
biological,0.85526
biology,0.67213
biomarker,0.68547
biomarkers,1.66177
biomedical,2.27146
biopsies,1.09766
biopsy,1.25997
biotech,0.44407
biotechnology,0.55011
bipolar,0.85897
birmingham,0.21338
birth,0.68111
births,0.77271
bisphosphonates,0.46692
bissau,0.79224
bit,0.31002
bite,1.10661
black,0.49301
bladder,1.00995
blanket,0.28521
bleeding,0.53148
blind,0.9276
blindness,0.64133
bloating,1.4128
block,1.06073
blockage,0.85897
blockages,0.77271
blocked,1.0635
blockers,0.42766
blocking,0.85398
blocks,0.96706
blog,0.68547
blood,0.92095
bloodstream,1.143
bloomberg,1.47863
blown,1.17481
blue,0.61028
blueberries,1.47863
bmi,0.70188
bmj,0.31968
board,0.8341
bodies,0.63823
bodily,4.56882
body,0.75491
bolivia,0.79224
bone,0.71817
bones,0.61912
book,0.40366
books,0.39444
boost,0.8543
boosted,1.73276
booster,1.03248
boosting,1.46031
boosts,0.96748
born,0.73043
bosnia,0.79224
boston,0.54567
botox,1.47863
botswana,0.73504
bottle,0.11542
bottom,0.25171
bought,0.31968
bouts,0.85928
bowel,1.34837
box,0.41055
boy,0.64209
boys,0.59029
brain,0.87913
brains,0.7968
branch,1.03248
brand,0.62198
brands,0.64286
brawley,0.25648
brazil,0.96727
brca,1.17481
bread,0.51301
break,0.47722
breakdown,0.25648
breakfast,1.17481
breaking,1.07602
breaks,1.29462
breakthrough,0.97569
breast,0.8683
breasts,1.29274
breath,1.5048
breathe,1.38276
breathing,0.83528
brian,0.90962
brief,0.42275
briefing,2.6043
brigham,0.74509
bright,0.64209
bring,0.70565
bringing,0.48054
brings,0.4519
bristol,1.36591
britain,1.8709
british,0.88317
broad,1.13866
broader,0.66897
broadly,0.57163
broccoli,1.7265
broke,0.64362
broken,1.36591
brooklyn,0.51404
brother,0.1968
brought,0.85776
brown,0.64133
browser,1.06957
bruce,0.31968
brunei,0.79224
brush,0.57163
bryan,0.28521
build,0.87752
building,0.76054
builds,0.48054
buildup,0.12718
built,0.96727
bulgaria,0.73504
bullet,0.1595
burden,1.59814
burkina,0.79224
burn,0.64209
burning,0.78214
burundi,0.79224
business,1.18709
butter,0.64362
button,0.60382
buy,0.45503
buying,0.51404
buzzfeed,0.28521
bypass,0.66018
caffeine,0.71378
caicos,0.79224
calcium,1.47154
calculated,1.0635
caledonia,0.79224
calif,0.36694
california,0.42421
call,0.54217
called,0.83416
calling,0.58205
calls,0.71406
calm,1.29274
calorie,0.38316
calories,0.90844
cambodia,0.79224
cambridge,1.46031
came,0.56335
camera,0.77124
cameroon,0.79224
campaign,1.43826
campaigns,0.96748
campus,0.85928
canada,0.63508
canadian,0.29326
cancer,0.90641
cancerous,1.47053
cancers,0.83062
candidate,0.98276
candidates,0.62045
cannabis,0.85928
capable,0.60382
capacity,1.67171
cape,0.79224
capital,0.17028
capsules,0.18771
caption,0.58996
car,0.43519
carbohydrate,0.64286
carbohydrates,1.14943
carcinoma,0.57163
cardiac,1.24239
cardiologist,0.77881
cardiologists,0.73504
cardiology,0.61135
cardiovascular,0.5188
care,0.60862
career,0.93784
careful,0.23355
carefully,0.40166
caring,0.77271
carolina,1.21048
carried,1.42928
carries,0.73276
carry,0.30108
carrying,1.14943
cartilage,1.14815
case,0.78525
cases,0.8281
cataracts,1.47863
catch,0.42275
catching,0.34128
category,0.53266
catheter,1.62608
caught,0.77124
cause,0.89105
caused,0.85721
causes,0.78801
causing,1.01202
caution,0.39029
cautioned,0.50902
cautions,1.03262
cautious,0.54721
cautiously,1.10661
caveat,0.4519
caveats,1.03262
cayman,0.79224
cbs,3.07205
cdc,0.49086
cedars,1.4128
celiac,3.90773
cell,1.05102
cells,1.1127
cellular,0.13398
center,0.65103
centers,0.43531
central,0.77881
centre,1.95356
centuries,3.90773
century,0.60382
ceo,0.91365
cereals,0.46692
certain,0.80808
certainly,0.72687
certainty,0.70188
certified,0.85806
cervical,0.40366
cessation,0.1595
chad,0.64209
chain,0.1968
chair,1.23584
chairman,0.4864
challenge,0.58276
challenges,0.85776
challenging,0.61028
chamber,1.7265
chan,0.25648
chance,0.57482
chances,0.9969
chang,3.12361
change,0.71569
changed,0.8156
changer,0.96727
changes,0.85367
changing,0.65422
characteristics,0.85928
characterized,2.09217
charge,0.47228
charity,2.31609
charles,0.73504
chart,0.28521
chase,0.85928
cheap,1.05674
cheaper,1.08448
check,0.70428
checked,0.13398
checking,1.29336
chemical,1.00147
chemicals,1.1087
chemistry,0.55011
chemo,0.5698
chemotherapy,1.12459
chest,0.58996
chicago,1.16709
chicken,1.03248
chief,0.63866
child,1.06151
childhood,0.60794
children,0.7548
chile,0.79224
china,0.63901
chinese,0.89118
chocolate,0.93784
choice,0.3924
choices,0.28216
cholesterol,0.79454
choose,0.63268
choosing,0.51301
chose,0.60382
chosen,0.51197
chris,1.29336
christopher,0.48054
chromosome,0.85928
chronic,1.3835
cigarette,0.85837
cigarettes,0.28369
cincinnati,1.14815
circulating,0.42644
circulation,1.91367
circumstances,0.17028
cited,0.64286
citing,0.31968
city,0.7428
civil,0.51301
claim,0.29979
claimed,0.25648
claims,0.38185
class,1.08337
classes,0.38316
classic,0.46692
classified,0.75639
clean,0.71378
clear,0.49822
clearance,0.59291
cleared,0.81838
clearer,0.39444
clearing,1.7265
clearly,0.54662
cleveland,1.06447
click,1.2959
clicking,0.36052
clients,1.72961
clinic,0.67612
clinical,0.61116
clinically,0.78344
clinician,0.73504
clinicians,0.29764
clinics,0.59029
clock,1.0635
clogged,0.39444
close,0.92788
closed,1.05674
closely,1.4386
closer,0.70271
clot,0.6172
clots,0.61135
clotting,0.51197
cnn,0.98629
co,0.8187
cochrane,0.30063
cocktail,1.19346
coffee,0.66404
cognition,0.64209
cognitive,1.17836
cohen,0.85897
cold,0.33562
colds,0.57163
collaboration,0.4519
colleague,1.7265
colleagues,0.76115
collect,0.80434
collected,0.76162
collection,0.42766
college,1.02194
colombia,0.73504
colon,1.10243
colonoscopies,1.47863
colonoscopy,1.14943
color,1.21805
colorado,1.16436
colorectal,0.99226
colored,1.10661
columbia,0.37899
column,1.29274
com,0.70885
combat,0.56795
combination,0.90544
combinations,1.43826
combine,0.48054
combined,1.12511
combines,1.86147
combining,0.67565
come,0.50431
comes,0.61758
comfort,1.7265
comfortable,0.43897
coming,0.77527
comment,0.32727
commentary,0.40996
commenting,1.72961
comments,0.54721
commercial,1.443
commercially,0.67565
commission,1.07602
committee,0.41097
common,0.88311
commonly,1.02088
communicate,0.59291
communication,1.15205
communities,2.16274
community,0.6286
comoros,0.79224
companies,0.57174
company,0.71924
comparable,0.30692
compare,0.8559
compared,0.62986
compares,0.42766
comparing,0.45509
comparison,0.47898
comparisons,0.25648
compelling,0.48718
compensate,0.42766
complaints,0.96748
complementary,0.69996
complete,0.95975
completed,0.59693
completely,0.98214
completing,1.85225
complex,1.06073
compliance,0.57163
complicated,0.66018
complication,0.85806
complications,0.53526
component,0.76976
components,1.18709
composition,0.64362
compound,1.17439
compounds,1.33526
comprehensive,0.44943
compulsive,0.70188
computed,1.17481
computer,2.03007
concentrated,1.85225
concentration,1.13091
concentrations,1.0635
concept,1.12157
concern,0.37184
concerned,0.63823
concerns,0.3614
conclude,0.74892
concluded,0.60472
concludes,0.34128
conclusion,0.36325
conclusions,0.56232
conclusive,0.90962
concrete,0.51404
condition,1.06616
conditions,0.78443
conduct,0.56795
conducted,0.59898
conducting,1.20731
conference,0.88
confidence,1.05674
confident,0.25648
confirm,0.93506
confirmation,0.58205
confirmed,1.30444
confirms,0.60382
conflicting,0.55011
confusion,0.46465
congo,0.79224
congress,0.81251
conjunction,0.23297
connect,0.64362
connected,0.42398
connecticut,0.28521
connecting,1.29274
connection,0.76976
connections,1.1073
cons,0.28521
conscious,1.43826
consensus,0.34128
consequences,0.31677
consider,0.6129
considerable,1.1073
considerably,0.70188
consideration,0.51404
considered,0.61574
considering,0.47381
considers,0.96748
consistent,0.49427
consistently,0.13398
consists,1.61938
constant,1.29462
constantly,1.29274
constipation,0.69996
consult,1.29462
consultant,0.87752
consulted,0.42766
consulting,0.99242
consume,0.65702
consumed,1.22188
consumer,0.07869
consumers,0.50987
consuming,0.48276
consumption,1.14204
contact,1.17439
contain,0.63428
contained,1.36591
containing,0.71349
contains,0.56645
content,0.41775
context,0.70188
continue,0.66239
continued,0.68786
continues,0.63978
continuing,0.76976
continuous,1.29654
contraception,0.51404
contraceptive,0.39444
contract,0.21338
contrast,0.67191
contribute,0.7443
contributed,1.17481
contributes,0.51404
contributing,0.64286
contributor,0.64362
control,0.74679
controlled,0.78658
controlling,0.78214
controls,0.76976
controversial,0.26675
controversy,0.69016
convenient,1.10661
conventional,1.01015
conversation,0.2117
conversations,1.10661
convince,0.23297
convinced,0.14383
convincing,0.17028
cook,0.71378
cookie,0.94997
cookies,0.58205
cooking,1.61938
cool,0.46692
coordinated,1.47863
coordination,0.79224
cope,2.60776
copenhagen,0.28521
copies,0.85897
coping,2.22747
copy,0.64362
copyright,0.57163
cord,1.00995
core,0.42644
cornell,0.51301
coronary,1.0497
corp,0.90172
correct,0.79698
correction,1.10661
corrections,0.1595
correctly,0.82276
correlation,1.03248
cortex,3.12361
cosmetic,1.73276
cost,0.42257
costa,0.99242
costing,0.42766
costly,0.59613
costs,0.3142
cote,0.79224
cough,0.64286
could,0.85581
council,0.36596
counsel,0.28521
counseling,0.16294
count,0.77124
counter,0.66161
counterparts,1.47863
countries,0.45932
country,0.65361
counts,0.68547
couple,0.74195
couples,2.16274
course,0.83994
courtesy,0.59291
cousin,0.64362
cover,0.41901
coverage,0.42398
covered,0.66161
covering,0.42766
covers,0.26853
cramps,1.10661
crash,0.96748
cravings,0.42766
crazy,0.77271
cream,0.79224
creams,0.79224
create,0.97392
created,1.02096
creates,0.90962
creating,0.69996
credible,0.57163
credit,1.29274
crestor,0.85928
crisis,0.51301
criteria,0.50987
critical,0.9969
critically,1.03248
critics,0.19509
croatia,0.79224
cross,0.11542
crucial,0.76976
crying,1.10661
ct,0.8341
cuba,0.73504
culprit,0.96748
culture,1.29274
cup,1.1246
cups,0.55011
curb,0.85928
cure,0.84032
cured,0.61442
curing,0.39444
curious,0.39444
current,0.81818
currently,0.83079
customers,0.1968
customized,0.25648
cut,0.61115
cuts,0.55628
cutting,0.50882
cycle,1.10799
cycles,0.60382
cyprus,0.92077
czech,0.99242
daily,0.5429
dairy,1.0635
dallas,0.5698
damage,1.10981
damaged,1.63504
damaging,1.37327
dana,1.14943
dangerous,0.72054
dangerously,1.47863
daniel,0.58205
danish,0.46692
dark,0.85776
darussalam,0.79224
data,0.58245
database,0.23133
date,0.53539
daughter,1.63293
david,0.51715
davis,0.80434
day,0.72416
days,0.92939
deaconess,0.46692
dead,1.20731
deadliest,1.47863
deadly,0.72134
deal,0.87752
dealing,0.21338
dean,0.77271
death,0.77513
deaths,0.43337
debate,0.27144
debated,0.85928
debilitating,1.63993
dec,1.41818
decade,0.47396
decades,0.70474
december,0.7443
decent,0.64209
decide,0.19966
decided,0.61051
deciding,0.13398
decision,0.54607
decisions,0.67213
decline,0.83959
declined,0.55803
declines,0.36596
declining,0.25648
decrease,0.88153
decreased,0.82127
decreases,0.71378
decreasing,1.03248
deemed,0.51197
deep,0.82269
defect,0.92077
defective,0.28521
defects,0.66897
defense,0.79224
defibrillator,1.29336
defibrillators,0.57163
deficiencies,0.77271
deficiency,0.75639
deficient,1.29274
deficit,0.92077
deficits,0.77271
defined,0.4772
definitely,0.63823
definition,0.46692
definitive,0.62045
definitively,0.46692
degeneration,1.0635
degenerative,0.68547
degree,0.63978
degrees,0.71378
delay,0.43215
delayed,1.13091
delays,0.1968
delicate,0.64362
deliver,0.5067
delivered,0.40276
delivering,0.51301
delivers,1.79257
delivery,0.42275
demand,0.92077
dementia,1.39345
democratic,0.79224
demonstrate,0.8958
demonstrated,2.19643
demonstrates,1.81849
denise,0.57163
denmark,0.64056
dennis,0.85806
dense,0.25648
density,0.43897
dental,0.96748
dentist,0.96748
dentistry,0.77271
denver,1.13091
department,0.94677
departments,0.57163
depend,1.29336
dependent,1.07602
depending,0.58769
depends,0.55628
deposits,0.85928
depressed,1.2037
depression,0.75064
depressive,1.65181
depth,0.77271
deputy,0.19509
derived,0.85745
dermatologist,0.53936
dermatologists,0.64362
dermatology,0.66897
describe,0.36461
described,0.94048
describes,1.95356
design,0.66811
designed,1.22952
designing,1.29274
designs,1.7265
desire,1.1073
desperate,0.75639
despite,0.36432
destroy,1.05674
destroying,1.43826
destroys,5.23276
destruction,0.85928
detail,1.14815
detailed,0.71837
details,0.42151
detect,1.51376
detected,0.88902
detecting,1.18709
detection,1.34009
detects,1.29399
deterioration,1.10661
determine,1.00234
determined,0.90844
determining,0.81251
detroit,0.51404
devastating,0.55628
develop,1.17584
developed,0.85102
developers,3.12361
developing,0.89871
development,1.42053
developmental,0.6172
develops,0.85897
device,1.18144
devices,1.00846
diabetes,0.70616
diabetic,0.79224
diabetics,1.43826
diagnose,1.21375
diagnosed,1.15689
diagnoses,0.96706
diagnosing,2.13293
diagnosis,1.10289
diagnostic,1.17439
diagnostics,0.70188
diarrhea,1.07768
die,0.62893
died,0.66876
diego,0.36962
diet,0.72275
dietary,0.49912
dietitian,1.14815
diets,0.57688
differ,0.46692
difference,0.41896
differences,0.7898
different,0.7784
differentiate,2.16274
differently,0.64133
difficult,0.66685
difficulties,1.59814
difficulty,1.19599
digest,0.64362
digestive,1.08448
digital,0.67565
dimensional,2.94006
diminished,0.36596
dinner,1.43826
direct,0.56609
directed,1.14815
direction,1.19346
directions,1.10661
directly,0.76014
director,0.62169
directs,0.85837
disability,1.24933
disabled,0.34128
disabling,0.23297
disagree,0.96748
disappear,0.92077
disappeared,0.1595
disappointed,0.57163
disappointing,0.1968
discomfort,0.61442
discover,0.51404
discovered,0.69405
discovery,1.61438
discuss,0.83267
discussed,1.14815
discussing,0.85928
discussion,0.36461
disease,0.74026
diseased,2.16274
diseases,0.96108
dishes,0.57163
disorder,1.00529
disorders,0.86619
disrupting,3.90773
dissolve,0.46692
distance,1.4128
distinct,1.10661
distinguish,1.95978
distress,0.90962
distribution,0.64362
disturbances,0.85928
diverse,0.51404
divided,1.62608
division,0.53504
dizziness,0.71378
djibouti,0.79224
dna,0.85526
doctor,0.95399
doctors,0.82179
documented,0.51404
dog,0.64286
dogs,0.96748
doheny,0.42766
dollar,0.96748
dollars,0.35776
dominica,0.79224
dominican,0.79224
donald,0.51404
donated,2.02222
done,0.86335
donor,0.81251
donors,1.55536
door,0.92077
dopamine,0.39444
dosage,0.90172
dosages,0.64362
dose,0.62519
doses,0.47035
dosing,0.34128
dotinga,0.64362
double,0.72807
doubled,0.71378
doubt,0.53936
douglas,0.69996
dowjones,0.21338
downside,0.77124
downsides,0.17028
dozen,0.18363
dozens,0.26853
dr,0.57888
dramatic,0.9573
dramatically,1.29913
drank,1.1246
drastic,0.28521
draw,0.81838
drawing,0.93784
drawn,0.40366
dreams,1.10661
dress,0.64362
dried,1.81849
drink,0.90022
drinkers,0.90962
drinking,1.40347
drinks,0.73391
drive,0.81007
driven,0.67565
driving,1.56261
drop,0.61199
dropped,0.64477
drops,1.39537
drove,0.25648
drug,0.70084
drugmaker,2.83339
drugs,0.6514
dry,0.74892
dryness,2.22747
dual,0.23297
dubbed,2.60086
due,0.69106
duke,0.60794
dummy,0.14154
durable,0.23297
duration,0.75376
durham,0.26853
dutch,1.29274
dying,0.49912
dysfunction,1.36009
eager,0.28521
ear,1.20731
earlier,0.73537
earliest,1.80179
early,0.91207
ears,1.29274
ease,1.08448
easier,1.19613
easily,1.27437
easing,0.42766
east,1.07602
eastern,0.77271
easy,1.11864
eat,0.76968
eaten,1.29274
eating,0.93328
eats,0.57163
economic,1.61938
ecuador,0.68547
eczema,0.57163
ed,2.31609
edge,0.43897
edition,1.1246
editor,0.66897
editorial,0.37584
editors,2.05206
educated,0.28521
education,0.72148
educational,1.47863
edward,0.1968
effect,0.57624
effective,0.67117
effectively,1.89198
effectiveness,0.83994
effects,0.59198
efficacy,0.63187
efficiency,1.29274
efficient,1.95978
efficiently,1.85225
effort,0.74095
efforts,0.65202
egg,1.21805
eggs,1.21805
egypt,0.99242
eight,0.69104
einstein,0.42766
either,0.52619
el,0.92077
elderly,1.01703
electric,0.48718
electrical,1.33876
electrodes,0.81251
electromagnetic,2.6043
electronic,1.21805
elevated,0.85683
eli,0.70188
eligible,0.59613
eliminate,0.69016
eliminated,0.55011
eliminating,0.68547
elizabeth,0.58205
else,0.51434
elsewhere,0.66897
email,0.36031
emails,0.36694
embryos,0.64362
emerged,0.1968
emergency,0.79303
emerging,0.66897
emeritus,0.39444
emily,0.18259
emirates,0.79224
emory,0.46465
emotional,0.89118
emotions,1.03248
emphasis,0.64362
emphasize,0.28521
emphasized,0.23297
emphasizes,0.70188
emphysema,1.47863
employees,1.14815
empty,0.30063
en,1.06631
enable,2.61472
enables,3.90773
encourage,0.47113
encouraged,0.97831
encourages,1.85225
encouraging,0.85463
end,0.79394
ended,0.39982
endocrine,0.28521
endocrinologist,0.59291
endocrinology,1.14815
endometrial,0.51301
ends,0.42644
endure,0.96748
enduring,0.64362
energy,1.38837
engage,1.07602
engaged,1.7265
engineered,0.75639
engineering,1.29462
england,0.55269
enhance,1.08802
enhanced,1.19346
enjoy,1.03248
enlarge,0.44815
enlarged,0.90962
enormous,1.55536
enough,0.63923
enrolled,0.98782
enrollment,0.25648
ensure,0.51092
enter,0.49321
entered,0.53266
entering,1.55536
enthusiasm,0.64286
enthusiastic,0.85928
entire,0.65202
entirely,0.33562
environment,1.03304
environmental,0.51197
enzyme,0.89118
enzymes,1.72961
epidemic,0.24255
epidemiologist,0.44407
epidemiology,0.7316
epilepsy,0.85806
episode,0.79224
episodes,0.81251
equal,0.42521
equally,0.45503
equatorial,0.79224
equipment,1.29847
equivalent,1.73913
era,0.92077
erectile,1.03248
eric,0.62137
eritrea,0.79224
error,0.38185
esophageal,1.14815
esophagus,0.51301
espa,1.09425
especially,0.558
essential,0.63901
essentially,0.56421
establish,0.67565
established,0.49427
estimate,0.07394
estimated,1.16709
estimates,0.73924
estonia,0.79224
estrogen,0.57753
et,1.14815
ethical,0.36596
ethiopia,0.79224
ethnic,0.77271
europe,0.50348
european,0.96038
evaluate,0.56609
evaluated,0.3924
evaluating,1.07602
evaluation,0.18771
even,0.73162
evening,0.85837
event,0.76054
events,0.6737
eventually,0.88375
ever,0.62066
every,0.68444
everybody,1.23377
everyday,0.73391
everyone,0.69056
everything,1.33526
evidence,0.49687
evolved,1.61938
exact,0.42521
exactly,0.67719
exam,1.29783
examination,0.5698
examine,0.98276
examined,0.76102
examining,0.64133
example,0.51215
exams,1.00358
excellence,0.28521
excellent,1.0635
except,0.76054
excess,0.28889
excessive,1.46031
excited,1.17864
excitement,0.55011
exciting,1.02535
excluded,0.51404
executive,0.74216
exercise,0.94871
exercised,0.46692
exercises,1.2037
exercising,0.63978
exhausted,0.23297
exist,0.57163
existing,1.21712
exists,0.64286
expand,0.90962
expanded,0.59291
expanding,0.93784
expect,0.77884
expectant,0.25648
